timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1760643980876,295,GET Sleep Test,200,,500 Users Load Test 1-75,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,295,0,0
1760643980880,291,GET Sleep Test,200,,500 Users Load Test 1-98,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,291,0,1
1760643980879,292,GET Sleep Test,200,,500 Users Load Test 1-94,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,292,0,1
1760643980878,294,GET Sleep Test,200,,500 Users Load Test 1-87,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,294,0,0
1760643980877,295,GET Sleep Test,200,,500 Users Load Test 1-81,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,295,0,0
1760643980879,293,GET Sleep Test,200,,500 Users Load Test 1-92,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,293,0,0
1760643980880,292,GET Sleep Test,200,,500 Users Load Test 1-96,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,292,0,0
1760643980876,298,GET Sleep Test,200,,500 Users Load Test 1-78,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,298,0,1
1760643980877,297,GET Sleep Test,200,,500 Users Load Test 1-83,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,297,0,0
1760643980876,298,GET Sleep Test,200,,500 Users Load Test 1-74,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,298,0,0
1760643980877,297,GET Sleep Test,200,,500 Users Load Test 1-79,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,297,0,0
1760643980877,297,GET Sleep Test,200,,500 Users Load Test 1-80,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,297,0,0
1760643980879,295,GET Sleep Test,200,,500 Users Load Test 1-89,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,295,0,0
1760643981069,105,GET Sleep Test,200,,500 Users Load Test 1-65,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,105,0,0
1760643980876,298,GET Sleep Test,200,,500 Users Load Test 1-77,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,298,0,1
1760643980878,296,GET Sleep Test,200,,500 Users Load Test 1-88,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,296,0,1
1760643980879,295,GET Sleep Test,200,,500 Users Load Test 1-90,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,295,0,0
1760643980880,294,GET Sleep Test,200,,500 Users Load Test 1-95,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,294,0,0
1760643980877,297,GET Sleep Test,200,,500 Users Load Test 1-82,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,297,0,0
1760643980876,298,GET Sleep Test,200,,500 Users Load Test 1-76,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,298,0,0
1760643980882,292,GET Sleep Test,200,,500 Users Load Test 1-107,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,292,0,0
1760643980881,293,GET Sleep Test,200,,500 Users Load Test 1-100,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,293,0,0
1760643980882,292,GET Sleep Test,200,,500 Users Load Test 1-106,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,292,0,0
1760643980882,293,GET Sleep Test,200,,500 Users Load Test 1-105,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,293,0,0
1760643980880,295,GET Sleep Test,200,,500 Users Load Test 1-93,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,295,0,0
1760643980879,296,GET Sleep Test,200,,500 Users Load Test 1-91,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,296,0,0
1760643980878,297,GET Sleep Test,200,,500 Users Load Test 1-85,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,297,0,0
1760643980881,294,GET Sleep Test,200,,500 Users Load Test 1-99,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,294,0,0
